problem,size,optimal_cost,algorithm,mean_total_time,std_total_time,mean_gap,std_gap,mean_generations,success_rate,conditional_time_to_optimal,n_repetitions
eil101,101,629.0,HybridNaive,2.3785552728828545,0.30936110229679054,0.7154213036565977,0.261792523280025,13.923076923076923,1.0,,
eil101,101,629.0,HybridOptimized,0.3930313021154549,0.07625844771435557,0.7643389996331172,0.2069086989811499,13.615384615384615,1.0,,
eil101,101,629.0,FullGPU,1.7374916162689784,0.536912793697215,0.7582242876360523,0.37234529405988326,72.0,1.0,,
eil51,51,426.0,CPU,22.5303276404598,4.378420847827317,0.6229685807150597,0.2599526913847593,5.038461538461538,1.0,,
eil51,51,426.0,HybridNaive,0.6118912928453099,0.09168690439432084,0.6319971108703505,0.2415870018103946,5.038461538461538,1.0,,
eil51,51,426.0,HybridOptimized,0.11290098650152476,0.022249143625853396,0.6500541711809318,0.23750354709219765,5.038461538461538,1.0,,
eil51,51,426.0,FullGPU,0.40681702199960385,0.35835727988928345,0.47851209823040813,0.1657417817866181,60.88461538461539,1.0,,
eil76,76,538.0,CPU,84.61023073234618,8.323712739641039,0.6434086359736917,0.3228936171185649,9.615384615384615,1.0,,
eil76,76,538.0,HybridNaive,1.3630805015009524,0.1809287924846064,0.6219616814412353,0.3378226294169477,9.615384615384615,1.0,,
eil76,76,538.0,HybridOptimized,0.20670775003671993,0.03354761385639148,0.6148126965970833,0.29957573405428883,9.192307692307692,1.0,,
eil76,76,538.0,FullGPU,0.8939875458058325,0.2964293965784082,0.7077494995710608,0.36459822705175865,67.84615384615384,1.0,,
fl417,417,11861.0,HybridNaive,92.55307808246334,35.83784722994779,1.5827566750760411,0.5908664967878338,101.0,1.0,,
fl417,417,11861.0,HybridOptimized,18.916624729692224,3.8222129849377584,1.9264817469016102,1.0646296342115407,104.5,1.0,,
fl417,417,11861.0,FullGPU,87.87770153326763,26.717205698371018,1.057116730331468,0.10967962345178704,115.84615384615384,1.0,,
kroA100,100,21282.0,CPU,185.08080123365238,29.913212025740485,0.47403728683683577,0.29153675216227953,10.73076923076923,1.0,,
kroA100,100,21282.0,HybridNaive,1.8087557804215066,0.18186483320338062,0.47168788358526165,0.29742162350834644,10.653846153846153,1.0,,
kroA100,100,21282.0,HybridOptimized,0.29807270380853457,0.038929324991910715,0.3863864732204174,0.3064863027394568,10.846153846153847,1.0,,
kroA100,100,21282.0,FullGPU,1.3718692721141592,0.3331082333137062,0.015180759471709573,0.023030704636021762,51.03846153846154,1.0,,
kroA150,150,26524.0,HybridNaive,4.788922285498424,0.6449622192779997,0.7122721947032008,0.20591992702515854,19.076923076923077,1.0,,
kroA150,150,26524.0,HybridOptimized,0.8142576724612022,0.214798508261347,0.7051668735426843,0.21091057517770925,18.73076923076923,1.0,,
kroA150,150,26524.0,FullGPU,5.560973903577091,1.7319462451769425,0.6181629409649317,0.31599350409822247,83.8076923076923,1.0,,
kroA200,200,29368.0,HybridNaive,12.584408035035958,7.606213186983524,0.9342979276239968,0.3104923348371744,39.23076923076923,1.0,,
kroA200,200,29368.0,HybridOptimized,2.018675386886632,1.0241695225121343,0.8927823062255096,0.3116892055797083,35.88461538461539,1.0,,
kroA200,200,29368.0,FullGPU,11.59612407138496,3.649714413101069,1.055832617396224,0.2998451149545626,92.38461538461539,1.0,,
kroB100,100,22141.0,CPU,185.46355547753808,23.134020177444736,0.5845403411005687,0.2494202603410764,10.923076923076923,1.0,,
kroB100,100,22141.0,HybridNaive,1.91444632542593,0.3142286356025503,0.5928785094134444,0.2709081115600612,11.076923076923077,1.0,,
kroB100,100,22141.0,HybridOptimized,0.3364602986896618,0.08778614949254744,0.5464974481730726,0.29523593325331676,11.115384615384615,1.0,,
kroB100,100,22141.0,FullGPU,1.7662923415414298,0.557244477308921,0.20758564862263887,0.20158965251768937,66.38461538461539,1.0,,
kroB150,150,26130.0,HybridNaive,4.421797234116018,0.3538210587578829,0.7492125172951807,0.1791019227640248,18.0,1.0,,
kroB150,150,26130.0,HybridOptimized,0.7289762562656523,0.06733004716818984,0.7531867290765109,0.17989499396823086,17.76923076923077,1.0,,
kroB150,150,26130.0,FullGPU,6.973708780848028,2.517195381441649,0.5880361506079073,0.275588160203606,105.11538461538461,1.0,,
kroC100,100,20749.0,CPU,175.80046302407644,16.21102774768002,0.4654533860760667,0.28494477573344695,10.576923076923077,1.0,,
kroC100,100,20749.0,HybridNaive,1.8075539538121679,0.2731506805053762,0.4917753218876165,0.3006143790212447,10.5,1.0,,
kroC100,100,20749.0,HybridOptimized,0.2945467828461425,0.056887844969043894,0.4003900095277993,0.26662193284593805,10.692307692307692,1.0,,
kroC100,100,20749.0,FullGPU,1.3501345571150103,0.34415253437902144,0.05635118652613472,0.08178726556674283,50.30769230769231,1.0,,
kroD100,100,21294.0,CPU,185.51343411134425,27.463850607156253,0.5671514547254193,0.22680851781345335,10.923076923076923,1.0,,
